KEY,ENGLISH,NAHNYA,ROMANIZATION,TRANSLATION_COMMENTS
NAME_SCOUT COOKIES,SCOUT COOKIES,,,
NAME_SCOUT EFFIGY,SCOUT EFFIGY,,,
NAME_SCOUTMASTER'S BUGLE,SCOUTMASTER'S BUGLE,,,
NAME_SCROLL,SCROLL,,,
NAME_SHELF FUNGUS,SHELF FUNGUS,,,
NAME_SKELETON,SKELETON,,,
NAME_SKELETON_PLAYER,#'S SKELETON,,,
NAME_SNOWBALL,SNOWBALL,,,
NAME_SNOWPILE,SNOW PILE,,,
NAME_SPORTS DRINK,SPORTS DRINK,,,
NAME_STICK,STICK,YHRAM,YEHRAM,stick
NAME_STONE,STONE,HAGKEN,HANGKEN,stone
NAME_STRANGE GEM,STRANGE GEM,,,
NAME_SUNSCREEN,SUNSCREEN,,,
NAME_SURVIVALIST,SURVIVALIST BADGE,,,
NAME_THEBOOKOFBONES,THE BOOK OF BONES,,,
NAME_THORN,THORN,,,
NAME_TICK,TICK,,,
NAME_TORCH,TORCH,YHRAMKEIN,YEHRAM KEIN,stick+fire
NAME_TORN PAGE,TORN PAGE,,,
NAME_TOXICOLOGY,TOXICOLOGY BADGE,,,
NAME_TRAIL MIX,TRAIL MIX,,,
NAME_TRAILBLAZER,TRAILBLAZER BADGE,,,
NAME_TREAD LIGHTLY,TREAD LIGHTLY BADGE,,,
NAME_ULTIMATE,ULTIMATE BADGE,,,
NAME_UNDEAD ENCOUNTER,UNDEAD ENCOUNTER BADGE,,,
NAME_VOLCANOLOGY,VOLCANOLOGY BADGE,,,
NAME_WARP COMPASS,WARP COMPASS,,,
NAME_WEB SECURITY,WEB SECURITY BADGE,,,
NAME_WEIRD SHROOM,WEIRD SHROOM,,,
NAME_YELLOW BERRYNANA,YELLOW BERRYNANA,,,
NAME_YELLOW CLUSTERBERRY,YELLOW CLUSTERBERRY,,,
NAME_YELLOW CRISPBERRY,YELLOW CRISPBERRY,,,
NAME_YELLOW KINGBERRY,YELLOW KINGBERRY,,,
NAME_YELLOW SHROOMBERRY,YELLOW SHROOMBERRY,,,
NAME_YELLOW WINTERBERRY,YELLOW WINTERBERRY,,,
NATIONALITY,Nationality,HENMWFHN,Henmwvaht,island+birth eg. starting island/nationality
NATIVE,NATIVE,,,
NEVERABANDON,Never Abandon a Friend in Need!,,,
NEWBADGES,NEW BADGES,,,
NEWFIT,NEW FIT!,,,
NEWHAT,NEW HAT!,,,
NEWISLANDIN,NEW ISLAND IN,HENYHDEI,HEN YH DEI,island+new in
NEWLOOK,NEW LOOK!,,,
NEWSASH,NEW SASH!,,,
NEXT,NEXT,NIS,NIS,after (TODO: there's probably a better way to do this)
NINE,Nine,HEICAF,Heichav,nine
NO-NO,no-no,"KRH,KRH",krh-krh,no-no
NONE,NONE,NIKRH,NIKRH,without
OFF,OFF,,,
OK,OK,,,
ON,ON,,,
ONE,One,FA,Fa,one
ONLYATMAINMENU,This setting can only be adjusted on the main menu.,,,
OPEN,open,FEI,fei,open
OPEN/CLOSE,open/close,,,
OPEN?,open?,FEIPYEI,fei pyei?,open (question)
OWL SCOUT,OWL SCOUT,,,
PASSENGER,PASSENGER:,,,
PASSPORT,PASSPORT,NWRAMPIHEN,Nwrambihen,passport
PASSPORTNO,Passport no.,FACACINWRAMPIHEN,Fachachi nwrambihen,passport+number
PEAK,PEAK,HEIKE,HEIKE,peak
PEAKSSUMMITTTED,PEAKS SUMMITTED: #,,,
PHOTOBOOTH,PHOTOBOOTH,,,
PHOTOSENSITIVEMODE,PHOTOSENSITIVE MODE,,,
PICKAXE,PICKAXE,,,
PICKUP,pick up,DHF,dahf,pick up
PING,PING LOCATION,,,
PITONPROMPT,PITON,,,
PLACE,place,KRI,kri,place
PLANT,plant,KRI,kri,place
PLAY,play,,,
PLAY DEAD,play dead,,,
PLAYOFFLINE,PLAY OFFLINE,MYHNIKRHKEI,MYH NIKRKEI,start+alone
PLEASEUSE,PLEASE USE HEADPHONES AND A MICROPHONE,,,
PRESSANYBUTTON,PRESS ANY BUTTON TO CONTINUE,,,
PROMOTEDTO,PROMOTED TO:,,,
PROMPT_REBIND,PRESS AN INPUT TO ASSIGN TO<br><size=125%><color=#DDBE55>@</color></size>,,,
PROMPT_RULE1_1,[AIM]LOOK AROUND,,,
PROMPT_RULE1_2,[MOVE]WALK,,,
PROMPT_RULE1_3,[SPRINT]SPRINT,,,
PROMPT_RULE1_4,[JUMP]JUMP,,,
PROMPT_RULE2_1,HOLD[USEPRIMARY]EMPTY-HANDED: GRAB WALL,,,
PROMPT_RULE2_2,[JUMP]IN AIR: GRAB WALL,,,
PROMPT_RULE2_3,[SPRINT]WHILE CLIMBING: LUNGE,,,
PROMPT_RULE3,[USESECONDARY] EMPTY-HANDED: HELP UP FRIEND,,,
PROMPT_RULE3_1,[CROUCH]CROUCH,,,
PROMPT_RULE8,[PING]:PING LOCATION,,,
PUNCHFIST,bully,,,
PUSH TO MUTE,PUSH TO MUTE,,,
PUSH TO TALK,PUSH TO TALK,,,
QUIT,QUIT,PIPI,PIPI,exit
RABBIT SCOUT,RABBIT SCOUT,,,
RACCOON SCOUT,RACCOON SCOUT,,,
READ,READ,DA,DA,read
REBIND,REBIND,,,
REBINDCONTROLS,REBIND CONTROLS,YEIHAKEINISE,YEI HAKEINISE,change.pl control.pl
Reduce Camera Bobbing,REDUCE CAMERA BOBBING,,,
REMOVE,remove,KRIKRH,krikrh,place.NEG
RENDER SCALE,RENDER SCALE,,,
RESET,Reset,,,
RESOLUTION,RESOLUTION,,,
RESTOREDEFAULTS,RESTORE DEFAULTS,,,
RESUME,RESUME,,,
RESURRECTMESSAGE,get resurrected at the statue!,,,
REVIVE,revive,,,
REVIVESCOUTS,revive scouts,,,
REVIVE_BOOKOFBONES,REVIVE?,,,
REWARD,REWARD:,,,
ROOTS,ROOTS,,,
ROPE,ROPE,DEF,DEV,rope
RULE,RULE,DEHFINEIG,DEHFINEING,law
RULE0SIGNATURE,-Scoutmaster Myres,,,
SALUTE,salute,,,
SCOUT,SCOUT,,,
SCOUTCANNONFUSE,FUSE,,,
SCOUTINGREPORT,SCOUTING REPORT,,,
SCROLL,SCROLL,,,
SCROLL BACKWARD,SCROLL BACKWARD,,,
SCROLL FORWARD,SCROLL FORWARD,,,
SELECTMIC,SELECT MICROPHONE,,,
SET,set,,,
SETPITON,set piton,,,
SETTINGS,SETTINGS,NWNEG,NWNENG,want.pl
SEVEN,Seven,HEINDI,Heindi,seven
SFX VOLUME,SFX VOLUME,,,
SHADOW DISTANCE,SHADOW DISTANCE,,,
SHOOT,shoot,,,
SHORE,SHORE,,,
SHRUG,shrug,,,
SIX,Six,HEINCH,Heinchh,six
SOMEONESBACKPACK,#'S BACKPACK,#DHCHKHGSEI,# DAH CHHKHNGSEI,# (posessive) container+back
SPECTATING,spectating:,,,
SPOOL,spool,,,
SPRAY,spray,,,
SPRINTLEAP,SPRINT / LEAP (WHILE CLIMBING),,,
START,START,MYH,MYH,start
START2,start,MYH,myh,start
STASHITEM,stash<br>#,,,
STRUGGLE,struggle,,,
STYLE1,GAMEPAD STYLE 1,,,
STYLE2,GAMEPAD STYLE 2,,,
SWAPITEMDOWN,STASH ITEM,,,
SWAPITEMLEFT,SWAP ITEM LEFT,,,
SWAPITEMRIGHT,SWAP ITEM RIGHT,,,
TADPOLE SCOUT,TADPOLE SCOUT,,,
TAKEITEM,take<br>#,DHF<br>#,dahf<br>#,take<br>#
TEN,Ten,CASAHEINH,Cha sa heinah,2 by 5
TENDERFOOT,TENDERFOOT,,,
TEXTURE QUALITY,TEXTURE QUALITY,,,
THANKSFORPLAYING,THANKS FOR PLAYING!,,,
THE KILN,THE KILN,,,
THEFOGRISES,THE FOG RISES...,,,
THELAVARISES,THE LAVA RISES,,,
THINK,think,CW,chw,think
THISGAMEUSESVOICECHAT,THIS GAME USES VOICE CHAT,,,
THREE,Three,CEI,Chei,three
THROW,throw,YADEHEIPI,ya deheipi,drop+push away
THUMBS UP,thumbs up,,,
TICK,TICK,,,
TICKINTERACT,remove tick,,,
TIE KNOT,tie knot,,,
TIME,TIME,SEIPE,SEIPE,time
TIMELINE,TIMELINE,SAIMERAIN,SAIMERAIN,timeline
TITLE_BONUSRULE1,SCAN YOUR SHROOMS!,,,
TITLE_BONUSRULE2,GATHER 'ROUND THE FIRE!,,,
TITLE_BONUSRULE3,EMBRACE THE OCCULT!,,,
TITLE_BONUSRULE4,HUDDLE UP!,,,
TITLE_BONUSRULE5,I JUST NEED A NAP...,,,
TITLE_BONUSRULE?,WHERE'D EVERYONE GO?,,,
TITLE_CONCLUSION,IN CONCLUSION,,,
TITLE_CRAZY,RULE 0 RULE 0 RULE 0 RULE 0,,,
TITLE_PREFACE,PREFACE,,,
TITLE_RULE0,NEVER ABANDON A FRIEND IN NEED!,,,
TITLE_RULE1,KEEP MOVING!,,,
TITLE_RULE2,KEEP MOVING (UP)!,,,
TITLE_RULE3,ALWAYS LEND A HAND!,,,
TITLE_RULE4,"STAY ALERT, STAY ALIVE!",,,
TITLE_RULE5,LIFE IS PAIN!,,,
TITLE_RULE6,STAY HUNGRY,,,
TITLE_RULE6_1,"<BR><SIZE=30>(ACTUALLY, DON'T!)",,,
TITLE_RULE7,DON'T OVERPACK!,,,
TITLE_RULE8,KEEP AN EYE OUT!,,,
TO,TO:,KRIREIKE,KRIREIKE:,towards
TOMB,TOMB,,,
TOUCH,touch,FAG,fang,touch
TROPICS,TROPICS,,,
TRYAGAIN,TRY AGAIN,,,
TRYCONNECTAGAIN,Try to connect again or play in offline mode?,,,
TWO,Two,CA,Cha,two
UNLOCKED,# UNLOCKED,,,
USE,use,HAI,hai,use
USE ON #TARGETCHAR,use on #targetchar,HAIKRHKEI#targetchar,hai krahgei #targetchar,use against #targetchar
VERSIONOUTOFDATE,VERSION OUT OF DATE,,,
VINE,VINE,,,
VOICE ACTIVATION,VOICE ACTIVATION,,,
VOICES VOLUME,VOICES VOLUME,,,
VSYNC,VSYNC,,,
WAITINGFORALL,waiting for all players...,,,
WARP,warp,,,
WAVE,wave,,,
WEARBACKPACK,wear backpack,PYAICHKHGSEI,pyai chhkhngsei,wear container+back
WEMADEIT,"We made it!!<br><br>Even without our scoutmaster's help, we managed to get rescued!<br><br>SněžnýPerník managed to make it up first.<br>Zedorfska made it out without a scratch.<br>CaptainBear was injured but in great spirits.<br>Squdel & Kirpich are a little bruised. Good thing they had each other!<br>Ronokopl kept the team fed and safe.<br><br>Mr. Myres, if you're reading this... We couldn't find you!! I'm sorry!",,,
WINDOW MODE,WINDOW MODE,,,
WINDOWED,WINDOWED,,,
WINDOWED FULLSCREEN,WINDOWED FULLSCREEN,,,
WOLF SCOUT,WOLF SCOUT,,,
WORLD QUALITY,WORLD QUALITY,,,
YOUPEAKED,YOU PEAKED,SHPIRISECWMHEIKE,SAHBIRISE CHWM HEIKE,
YOURSELF,YOURSELF,SHREPADA,SHRE PADA,your body
ZOOM,zoom,,,
__NATIONALITY,,YHGNYEM,YHNGNYEM,neptunian island
